data_range,n_samples,theoretical_prob,empirical_prob,trials_used,discriminability,lambda_sigma_ratio,log_gram_det,discrepancy
0.1,100,0.0,0.0,500,0.00010795801432413735,0.5,-46.78271283957808,0.0
0.1,300,0.0,0.0,500,0.000293086133851616,0.5,-43.73774941355873,0.0
0.1,500,0.0,0.0,500,0.0005402334890341424,0.5,-41.918081234796325,0.0
1.0,100,0.0,0.0,500,58.789616900170344,0.5,-7.175940598017524,0.0
1.0,300,0.0,0.006,500,171.4357978460041,0.5,-3.6723899000332274,0.006
1.0,500,0.0,0.006,500,322.5738121322036,0.5,-1.96299535625268,0.006
2.0,100,0.0,0.08,500,1752.5524124339277,0.5,2.808763658726084,0.08
2.0,300,0.0,0.186,500,6427.674453070011,0.5,6.284915003538501,0.186
2.0,500,0.0,0.324,500,8981.22833475377,0.5,7.6764994006205,0.324
